University Name ,State,PercentUndergradMenEnrolled,NPercentUndergradMenEnrolled,PercentUndergradWomenEnrolled,NPercentUndergradWomenEnrolled,PercentUndergradOtherGenderEnrolled,NPercentUndergradOtherGenderEnrolled,TotalUndergraduateEnrolled,NTotalUndergraduateEnrolled,PercentGraduateMenEnrolled,NPercentGraduateMenEnrolled,PercentGraduateWomenEnrolled,NPercentGraduateWomenEnrolled,PercentGraduateOtherGenderEnrolled,NPercentGraduateOtherGenderEnrolled,TotalGraduateEnrolled,NTotalGraduateEnrolled,PercentMenEnrolled,NPercentMenEnrolled,PercentWomenEnrolled,NPercentWomenEnrolled,TotalAllStudentsEnrolled,NTotalAllStudentsEnrolled,PercentNonResidentUndergrad,NPercentNonResidentUndergrad,PercentHispanicUndergrad,NPercentHispanicUndergrad,PercentBlackUndergrad,NPercentBlackUndergrad,PercentWhiteUndergrad,NPercentWhiteUndergrad,PercentNativeAmericanUndergrad,NPercentNativeAmericanUndergrad,PercentAsianUndergrad,NPercentAsianUndergrad,PercentPacificIslanderUndergrad,NPercentPacificIslanderUndergrad,Percent2016CohortGotPellGrants,NPercent2016CohortGotPellGrants,TotalSixYearGraduation Rate %2016Cohort,NTotalSixYearGraduation Rate %2016Cohort,RetentionRateUndergradFirstYear%,NRetentionRateUndergradFirstYear%,PercentFTFYMenApplied,NPercentFTFYMenApplied,PercentFTFYWomenApplied,NPercentFTFYWomenApplied,PercentFTFYOtherGenderApplied,NPercentFTFYOtherGenderApplied,FTFYTotalApplied,NFTFYTotalApplied,PercentFTFYMenAdmitted,NPercentFTFYMenAdmitted,PercentFTFYWomenAdmitted,NPercentFTFYWomenAdmitted,PercentOtherGenderAdmitted,NPercentOtherGenderAdmitted,FTFYTotalAdmitted,NFTFYTotalAdmitted,PercentFTFYMenEnrolled,NPercentFTFYMenEnrolled,PercentFTFYWomenEnrolled,NPercentFTFYWomenEnrolled,PercentFTFYOtherGenderEnrolled,NPercentFTFYOtherGenderEnrolled,FTFYTotalEnrolled,NFTFYTotalEnrolled,HSCompletionRequirement,ACTUsedForAdmissionDecisions?,FTFYGPAAvg,NFTFYGPAAvg,ResidentApplicationFee(inDollars),NResidentApplicationFee(inDollars),ApplicationFeeCanBeWaived?,PercentTransferMenEnrolled,NPercentTransferMenEnrolled,PercentTransferWomenEnrolled,NPercentTransferWomenEnrolled,PercentEnrolledStudentsTransfer,NPercentEnrolledStudentsTransfer,PercentUndergradOutOfState,NPercentUndergradOutOfState,PercentUndergradOnCampus,NPercentUndergradOnCampus,PercentUndergradOffCampus,NPercentUndergradOffCampus,AverageUndergradStudentAge,NAverageUndergradStudentAge,InStateTuitionCost,NInStateTuitionCost,OutStateTuitionCost,NOutStateTuitionCost,NonresidentTuitionCost,NNonresidentTuitionCost,TotalNeedBasedScholarship,NTotalNeedBasedScholarship,TotalNonNeedScholarship,NTotalNonNeedScholarship,PercentUndergradApplyForNeedBasedFinancialAid,NPercentUndergradApplyForNeedBasedFinancialAid,PercentUndergradAppliedNeedBasedFinancialAidReceived,NPercentUndergradAppliedNeedBasedFinancialAidReceived,PercentUndergradGotNeedBasedFinancialAid,NPercentUndergradGotNeedBasedFinancialAid,PercentOfNeed-BasedAidMetForStudents,NPercentOfNeed-BasedAidMetForStudents,AvgNeedBasedScholarshipAmount,NAvgNeedBasedScholarshipAmount,NoFinancialNeedFTStudentsAwardedScholarship,NNoFinancialNeedFTStudentsAwardedScholarship,AvgNoNeedScholarship,NAvgNoNeedScholarship,PercentFirstTimeStudentsBorrowedAnyLoanProgram,NPercentFirstTimeStudentsBorrowedAnyLoanProgram,FirstTimeStudentsAvgBorrowedAnyLoanProgram,NFirstTimeStudentsAvgBorrowedAnyLoanProgram,NonresidentStudentsAwardedAid,NNonresidentStudentsAwardedAid,AvgAmountAwardedNonresidentStudents,NAvgAmountAwardedNonresidentStudents,Student/FacultyRatio,NStudent/FacultyRatio,Current Minimum Wage,NCurrent Minimum Wage,Preemption,PreemptionCat,NPreemption,Hypertension,NHypertension,Cardiovascular Disease,NCardiovascular Disease,Avoided Care Due To Cost,NAvoided Care Due To Cost,Drug Deaths (per 100.000),NDrug Deaths (per 100.000),Suicide (per 100.000),NSuicide (per 100.000),High Cholesterol,NHigh Cholesterol,Depression Women,NDepression Women,Multiple Chronic Conditions,NMultiple Chronic Conditions,Income Inequality,NIncome Inequality,Violent Crime Rate (per 100.000),NViolent Crime Rate (per 100.000),Child Mortality,NChild Mortality,Infant Mortality (per 100.000),NInfant Mortality (per 100.000),Percent Black,NPercent Black,Percent White,NPercent White,Median Wage,NMedian Wage,Cost Of Living Index,NCost Of Living Index,Housing Insecurity,NHousing Insecurity,Food Insecurity,NFoodInsecurity
Oregon State University,Oregon,51.25756789,0.671189838,48.74243211,-0.659781716,0,-0.256262197,28905,0.315869852,46.53796176,0.222101863,53.46203824,-0.094976241,0,-0.248704113,5387,-0.606854807,50.51615537,0.60576638,49.48384463,-0.590057226,34292,0.04809198,3.478945527,0.07263206,10.30561064,-0.10497032,1.493059606,-0.733987913,53.158171,0.725752915,0.472413391,0.210993564,7.156188032,-0.165314399,0.247871224,0.042284993,25.40448481,-0.156800473,70,-0.176929055,86.8,0.077250205,46.00210518,0.245168986,53.99789482,-0.168158663,0,-0.24365733,25651,-0.463367016,44.81080826,0.359076049,55.18919174,-0.320731871,0,-0.246166294,21169,-0.001180393,49.52359849,0.372867133,50.47640151,-0.448185639,0,-0.241001764,4513,-0.293072887,GEDorHSDiplomaAccepted,Yes,3.64,-0.439570095,65,0.582906116,No,44.92627927,-0.570283251,55.07372073,0.598185678,7.977858502,0.693775705,43,1.240893164,18,-1.05410332,82,1.007565485,24,2.836750601,11145,0.116760254,33315,0.213143785,33315,0.189250091,90216780,-0.392348789,21705992,-0.525738543,68.46056941,-0.239742785,61.66642132,0.164130801,42.21718317,-0.036063421,50.6,-0.883895864,10188,-0.29325733,5941,0.840597752,6845,0.011948726,50,0.167771352,26049,-0.179340027,0,-0.679681185,0,-1.143222491,19,0.398510349,13.5,1.382797419,1,Yes,0.785275994,0.31,-0.626357823,0.08,-0.333024991,0.08,-0.695673142,18.6,-0.884075193,19.2,1.041201104,0.33,-1.322682521,0.25,1.590735206,0.11,0.298963717,4.58,-0.603925016,292,-0.833583224,22.4,-0.791220858,4.5,-1.163994652,0.03,-1.229562473,0.87,1.310844401,62680,0.387739229,115.1,0.803730929,0.16,0.406540467,0.1,-0.307242104
University of Oregon,Oregon,44.47227191,-0.454054569,55.16483516,0.398705921,0.362892921,0.480652201,19565,-0.514314726,43.24624792,-0.165295734,56.11450806,0.19883891,0.639244024,0.350947939,3598,-0.955244508,44.28182878,-0.390700405,55.3123516,0.335947624,23163,-0.71878139,1.9816086,-0.553375555,12.8955662,0.123066015,2.128394422,-0.632135037,51.84993308,0.648134848,0.332426715,0.00469313,5.551957864,-0.379831416,0.358330095,0.133322073,25.31709792,-0.164142656,73.4,0.082798893,85.6,-0.09089425,41.1261237,-0.537451167,58.78236529,0.534895641,0.091511008,-0.098534143,37154,-0.038151163,40.0174667,-0.483981564,59.93574748,0.529742912,0.046785815,-0.166441421,32061,1.056863751,43.27122153,-0.356563485,56.55938265,0.104047201,0.169395822,0.045537955,5313,0.035007689,GEDorHSDiplomaAccepted,Yes,3.76,0.102703293,65,0.582906116,Yes,46.73807205,-0.294307257,52.09347614,0.148940238,5.249169435,-0.352135829,49,1.612991978,29,-0.155466624,71,0.177832565,21,-0.004879567,12240,0.453828786,38683,0.900879545,38683,0.875885729,73444613,-0.601921615,16068334,-0.659044793,60.69064431,-0.916143905,57.73495728,-0.142422746,35.03971756,-0.621474842,51,-0.857213436,11207,-0.079058346,2201,-0.484587881,6725,-0.021881319,42,-0.56525072,24823,-0.393996716,46,-0.553116411,17066,0.83971678,19,0.398510349,13.5,1.382797419,1,Yes,0.785275994,0.31,-0.626357823,0.08,-0.333024991,0.08,-0.695673142,18.6,-0.884075193,19.2,1.041201104,0.33,-1.322682521,0.25,1.590735206,0.11,0.298963717,4.58,-0.603925016,292,-0.833583224,22.4,-0.791220858,4.5,-1.163994652,0.03,-1.229562473,0.87,1.310844401,62680,0.387739229,115.1,0.803730929,0.16,0.406540467,0.1,-0.307242104
Pennsylvania State University,Pennsylvania,53.00035932,0.9602069,46.63792071,-1.006629972,1.298359085,2.380271747,41745,1.457151435,52.80626781,0.959810795,46.89458689,-0.822455475,2.45014245,2.049687256,7020,-0.288844531,52.97241874,0.998364495,46.67486927,-1.036333574,48765,1.045392571,9.430944325,2.561047662,7.138316415,-0.383839263,3.806008408,-0.363190527,53.71885574,0.759018474,0.092279299,-0.349215666,5.996103763,-0.320440404,0.065620835,-0.107920627,13.20464235,-1.181822364,84.64,0.941428933,91,0.6657558,45.88734496,0.226749379,53.75594516,-0.20371197,0.356709876,0.322032798,85784,1.759488316,43.75633446,0.173614164,55.90371622,-0.192705343,0.339949324,0.333120756,47360,2.543001959,50.87890625,0.530983476,51.92057292,-0.317079055,0.455729167,0.52988211,9216,1.635630795,GEDorHSDiplomaAccepted,Yes,3.68,-0.258812299,65,0.582906116,Yes,54.16666667,0.83723152,43.51851852,-1.143658573,1.034854474,-1.9674905,42.7,1.222288224,34,0.253004601,66,-0.199318762,19,-1.899299679,18286,2.314939606,38102,0.826443167,38102,0.801568421,135714278,0.176154925,55045936,0.262607061,60.28723536,-0.951262167,30.34460098,-2.27816933,18.29392101,-1.987302431,62.4,-0.09676423,8234,-0.703998071,3928,0.127336073,5420,-0.389783062,53.05,0.447236018,44008,2.965047797,0,-0.679681185,0,-1.143222491,14.77,-1.00234736,7.25,-0.965252481,1,Yes,0.785275994,0.34,0.070377283,0.1,0.784584301,0.07,-1.054379605,41,1.387154125,13.1,-0.477961367,0.35,-0.416484808,0.19,-0.423969938,0.11,0.298963717,4.9,0.152593153,390,0.000773986,24.2,-0.507070199,5.9,0.078914892,0.13,-0.153287629,0.81,0.695803663,58470,-0.142394065,99,-0.206494391,0.14,-0.398409657,0.09,-0.797838368
Temple University,Pennsylvania,44.28358085,-0.485346286,55.71641915,0.489613457,0,-0.256262197,24106,-0.110688584,39.9057431,-0.558435479,60.0942569,0.639677293,0,-0.248704113,9124,0.120888242,43.08155281,-0.582547129,56.91844719,0.591116282,33230,-0.025087957,2.582004213,-0.302361759,6.62955161,-0.428634186,11.50767379,0.871491965,35.96448992,-0.294352273,0.11134517,-0.32111801,10.09027987,0.227031189,0.045139934,-0.124800407,27.27979778,0.000761958,78,0.434195529,84,-0.315086858,39.12739875,-0.858256821,60.87260125,0.842045491,0,-0.24365733,38666,0.017740897,38.55015089,-0.742054507,61.44984911,0.801035472,0,-0.246166294,30817,0.936022132,42.49571184,-0.447037958,57.50428816,0.1898288,0,-0.241001764,4664,-0.231147678,GEDorHSDiplomaAccepted,Yes,3.42,-1.433737972,55,0.059242727,Yes,48.74086109,0.01076168,51.25913891,0.0231713,5.106612462,-0.406778179,26,0.186613193,19,-0.972409074,81,0.932135219,21,-0.004879567,10970,0.062890853,31415,-0.030279827,31520,-0.040353294,183721334,0.776016255,38103843,-0.138000227,87.89158268,1.451799794,78.25300894,1.45746001,68.77780805,2.130285258,62.4,-0.09676423,11027,-0.116895262,3907,0.119895191,7169,0.103289849,74,2.36683757,39869,2.240362614,409,0.445644742,13935,0.475918417,12,-1.919693897,7.25,-0.965252481,1,Yes,0.785275994,0.34,0.070377283,0.1,0.784584301,0.07,-1.054379605,41,1.387154125,13.1,-0.477961367,0.35,-0.416484808,0.19,-0.423969938,0.11,0.298963717,4.9,0.152593153,390,0.000773986,24.2,-0.507070199,5.9,0.078914892,0.13,-0.153287629,0.81,0.695803663,58470,-0.142394065,99,-0.206494391,0.14,-0.398409657,0.09,-0.797838368
University of Pittsburgh,Pennsylvania,42.55319149,-0.772306642,57.44680851,0.774801996,0,-0.256262197,19928,-0.482049522,40.12972973,-0.532074778,59.87027027,0.614866204,0,-0.248704113,9250,0.145425471,41.78490644,-0.789797266,58.21509356,0.797121153,29178,-0.304301803,3.156487765,-0.062181295,4.657618754,-0.60225583,3.694564398,-0.381056529,42.56631709,0.097335703,0.020563438,-0.45490439,9.603125643,0.16188912,0.006854479,-0.156354197,13.03467477,-1.196102916,83.7,0.869621794,92.6,0.889948407,42.71555623,-0.282339056,57.28444377,0.314783472,0,-0.24365733,53072,0.550268028,39.47620691,-0.579178866,60.52379309,0.635107305,0,-0.246166294,26079,0.475774872,36.15034169,-1.187317584,63.84965831,0.765882169,0,-0.241001764,4390,-0.343515275,GEDorHSDiplomaAccepted,Yes,4.16,1.910281253,55,0.059242727,Yes,53.33333333,0.710296475,46.66666667,-0.66910316,3.311922923,-1.094685978,36,0.806777882,42,0.906558562,58,-0.802760885,20,-0.952089623,20154,2.889956975,38520,0.879996361,38520,0.85503595,103001531,-0.232599819,33060418,-0.257255434,68.81043985,-0.209285251,55.54212316,-0.31340767,38.21877925,-0.362182897,55.8,-0.537024297,14700,0.655188025,1046,-0.893836386,9233,0.685166629,58.6,0.955770081,38460,1.993665,0,-0.679681185,0,-1.143222491,13,-1.588521862,7.25,-0.965252481,1,Yes,0.785275994,0.34,0.070377283,0.1,0.784584301,0.07,-1.054379605,41,1.387154125,13.1,-0.477961367,0.35,-0.416484808,0.19,-0.423969938,0.11,0.298963717,4.9,0.152593153,390,0.000773986,24.2,-0.507070199,5.9,0.078914892,0.13,-0.153287629,0.81,0.695803663,58470,-0.142394065,99,-0.206494391,0.14,-0.398409657,0.09,-0.797838368
Clemson University,South Carolina,47.49180183,0.046691333,52.50819817,-0.039139133,0,-0.256262197,22566,-0.247571266,48.08474576,0.404140896,51.91525424,-0.266314129,0,-0.248704113,5900,-0.506953232,47.61469824,0.142010493,52.38530176,-0.129087823,28466,-0.353364059,0.611255533,-1.126293673,6.228483103,-0.463946836,4.296353545,-0.284581483,61.07285885,1.195333227,0.189699993,-0.205645349,2.325581395,-0.811261189,0.084311108,-0.092516632,15.29475686,-1.006212463,85.32,0.993374522,92.4,0.861924331,39.08442038,-0.865155071,60.90611333,0.846969925,0,-0.24365733,52819,0.540915719,37.42512333,-0.939925457,62.57487667,1.002614811,0,-0.246166294,22704,0.14792884,41.673932,-0.542910517,58.326068,0.264432651,0,-0.241001764,4588,-0.262315333,GEDorHSDiplomaAccepted,Yes,4,1.187250069,70,0.84473781,Yes,54.31565968,0.859926441,45.68434032,-0.817180145,7.187804662,0.390946616,40,1.054843758,41,0.824864317,59,-0.72733062,20,-0.952089623,13758,0.921107355,37302,0.723949015,37302,0.699238222,85066792,-0.456699301,62276160,0.433570615,62.92718826,-0.721444366,51.86024413,-0.600499976,32.63419346,-0.817675194,47,-1.124037718,11196,-0.081370602,4865,0.459341137,4708,-0.590507998,46,-0.198739684,34307,1.266528599,0,-0.679681185,0,-1.143222491,16,-0.595005756,7.25,-0.965252481,1,Yes,0.785275994,0.38,0.999357425,0.09,0.225779655,0.12,0.739152713,34,0.677394963,16.6,0.393689231,0.38,0.942811762,0.2,-0.088185747,0.12,0.734219717,4.82,-0.036536389,531,1.201226707,34.1,1.055758424,7,1.055486676,0.26,1.245869668,0.66,-0.841798182,50650,-1.127107215,96.5,-0.363361676,0.14,-0.398409657,0.13,1.164546686
University of South Carolina,South Carolina,43.79548696,-0.566289685,56.20451304,0.570057077,0,-0.256262197,27343,0.177031703,37.244284,-0.8716592,62.755716,0.934488191,0,-0.248704113,8310,-0.037630046,42.2685328,-0.712496599,57.7314672,0.720284949,35653,0.141875308,2.08117129,-0.51175032,4.403556503,-0.624625104,7.042885592,0.155725238,55.7344403,0.878603585,0.103778083,-0.332269738,3.228339831,-0.690544691,0.058901074,-0.113458864,15.43584721,-0.994358154,78,0.434195529,90,0.52563542,39.86441642,-0.739961687,60.13558358,0.733744385,0,-0.24365733,42188,0.147933911,36.89586263,-1.033012348,63.10413737,1.097446286,0,-0.246166294,27022,0.567377482,39.45485001,-0.801798674,60.65174357,0.475565054,0,-0.241001764,6567,0.54927399,GEDorHSDiplomaAccepted,Yes,3.66,-0.349191197,65,0.582906116,Yes,49.4322483,0.116075198,50.5677517,-0.08104919,4.831218228,-0.512337295,38,0.93081082,31,0.007921866,69,0.026972034,21,-0.004879567,12288,0.468604393,34534,0.369319249,34534,0.345175732,104257972,-0.216900245,73511573,0.699239581,67.64728298,-0.310542419,32.69490762,-2.094905581,22.11721668,-1.675465207,71,0.476907977,7467,-0.865225374,11002,2.63385029,7031,0.064385297,53,0.44265463,31695,0.809201298,344,0.266803213,3581,-0.727137554,18,0.067338314,7.25,-0.965252481,1,Yes,0.785275994,0.38,0.999357425,0.09,0.225779655,0.12,0.739152713,34,0.677394963,16.6,0.393689231,0.38,0.942811762,0.2,-0.088185747,0.12,0.734219717,4.82,-0.036536389,531,1.201226707,34.1,1.055758424,7,1.055486676,0.26,1.245869668,0.66,-0.841798182,50650,-1.127107215,96.5,-0.363361676,0.14,-0.398409657,0.13,1.164546686
University of Memphis,Tennessee,39.22073258,-1.324947346,60.77926742,1.32403046,0,-0.256262197,16708,-0.768258767,42.11940872,-0.297912,57.88059128,0.39446866,0,-0.248704113,5209,-0.641518511,39.90965917,-1.089528374,60.09034083,1.095051322,21917,-0.804640337,0.962723,-0.979351922,7.094949126,-0.387657598,28.52123922,3.59899963,31.5280376,-0.557568044,0.177944062,-0.222970239,3.759638637,-0.619499627,0.009125336,-0.15448262,53.00340008,2.162040315,48,-1.857521659,74.7,-1.618206389,36.23390626,-1.322677276,63.69632777,1.256978156,0,-0.24365733,15767,-0.828735484,35.71332797,-1.240997704,64.21292572,1.296115928,0,-0.246166294,14916,-0.608594094,41.67357084,-0.542952652,58.28500414,0.26070474,0,-0.241001764,2414,-1.153874296,GEDorHSDiplomaAccepted,Yes,3.44,-1.343359074,25,-1.51174744,Yes,36.25,-1.891871913,63.66071429,1.8925988,6.703375628,0.205264077,17,-0.371535027,18,-1.05410332,82,1.007565485,24,2.836750601,10970,0.062890853,31415,-0.030279827,31520,-0.040353294,55310817,-0.828508369,45054318,0.026348472,90.38707322,1.669041605,57.25684274,-0.17970344,51.75278437,0.74168323,56,-0.523683082,7714,-0.813304717,1981,-0.562539977,6571,-0.065296544,60,1.084048943,29939,0.501748488,186,-0.167919272,14512,0.542961425,17,-0.263833721,7.25,-0.965252481,1,Yes,0.785275994,0.38,0.999357425,0.12,1.902193594,0.12,0.739152713,44.1,1.70147604,17.7,0.667636562,0.38,0.942811762,0.25,1.590735206,0.14,1.604731718,4.68,-0.367513088,673,2.410193278,33.7,0.992613834,6.9,0.966707423,0.17,0.277222308,0.75,0.080762925,52820,-0.853855612,90.4,-0.746117853,0.14,-0.398409657,0.11,0.183354159
University of Tennessee,Tennessee,45.60449721,-0.266291177,54.39550279,0.271910889,0,-0.256262197,27039,0.150010706,43.42299734,-0.14449432,56.57700266,0.250069623,0,-0.248704113,6766,-0.338308469,45.16787457,-0.249078822,54.83212543,0.259651625,33805,0.014533948,0.638958734,-1.114711501,4.721195089,-0.596658161,3.620766159,-0.392887398,63.11492383,1.316489428,0.100576838,-0.33698746,3.008430706,-0.719950852,0,-0.162003464,26.48760331,-0.065797645,72.58,0.020158623,88.6,0.329466889,38.18407275,-1.009665505,61.81592725,0.980662587,0,-0.24365733,36290,-0.070089483,36.98139048,-1.017969626,63.01860952,1.082121641,0,-0.246166294,24826,0.354058997,41.77621969,-0.530977172,58.22378031,0.255146641,0,-0.241001764,6846,0.663692091,GEDorHSDiplomaAccepted,Yes,4.07,1.503576212,50,-0.202588968,Yes,52.53712871,0.589016954,47.46287129,-0.549082375,5.976552387,-0.073328607,32,0.558712006,31,0.007921866,69,0.026972034,21,-0.004879567,11332,0.174323556,29522,-0.272806614,29522,-0.295922967,220319157,1.233316089,32866551,-0.261839551,79.03194579,0.680535176,44.73787359,-1.155862542,35.357212,-0.595579229,52.32,-0.769161422,11336,-0.051941889,6221,0.939809511,6174,-0.17721761,48.5,0.030329714,27949,0.153325314,53,-0.533856554,8722,-0.129792494,18,0.067338314,7.25,-0.965252481,1,Yes,0.785275994,0.38,0.999357425,0.12,1.902193594,0.12,0.739152713,44.1,1.70147604,17.7,0.667636562,0.38,0.942811762,0.25,1.590735206,0.14,1.604731718,4.68,-0.367513088,673,2.410193278,33.7,0.992613834,6.9,0.966707423,0.17,0.277222308,0.75,0.080762925,52820,-0.853855612,90.4,-0.746117853,0.14,-0.398409657,0.11,0.183354159
Texas A&M University,Texas,53.33669495,1.01598336,46.66330505,-1.002446334,0,-0.256262197,57512,2.858598999,52.75118167,0.953327777,47.24881833,-0.783217116,0,-0.248704113,16502,1.557679309,53.20615019,1.035723081,46.79384981,-1.017430524,74014,2.785242127,0.930904964,-0.992654428,19.77598833,0.728862606,1.80101062,-0.684619146,43.01348394,0.123866219,0.171589159,-0.232335553,8.81725079,0.056802249,0.032426298,-0.135278626,20.5360134,-0.5658459,83.54,0.857399302,94.55,1.163183148,50.6816821,0.996265195,49.3183179,-0.855799378,0,-0.24365733,43422,0.193549521,51.62298276,1.557207979,48.37701724,-1.541318534,0,-0.246166294,27203,0.584959743,53.78702962,0.870258322,46.21297038,-0.835233803,0,-0.241001764,12490,2.978300549,GEDorHSDiplomaAccepted,Yes,3.715,-0.100649227,75,1.106569504,Yes,52.75119617,0.621624149,47.24880383,-0.581351146,4.360829044,-0.692638334,4,-1.177749123,22,-0.727326339,78,0.705844423,20,-0.952089623,8443,-0.714983285,36637,0.638750751,36637,0.614176244,210178834,1.106609972,62804954,0.446074308,62.09943887,-0.793503055,57.79233046,-0.137949107,35.88871293,-0.55222873,67,0.210083695,12155,0.120216077,6716,1.115201727,5564,-0.349187008,39.05,-0.83555261,24633,-0.42726325,191,-0.154162232,31634,2.532407469,19,0.398510349,7.25,-0.965252481,1,Yes,0.785275994,0.32,-0.394112787,0.07,-0.891829638,0.16,2.173978567,14.3,-1.320070107,13.7,-0.32853555,0.36,0.036614049,0.19,-0.423969938,0.09,-0.571548283,4.88,0.105310768,447,0.486063384,26.9,-0.080844211,5.5,-0.276202121,0.13,-0.153287629,0.71,-0.329264233,57300,-0.28972327,93,-0.582975876,0.14,-0.398409657,0.13,1.164546686
Texas Tech University,Texas,50.79345591,0.594223496,49.20654409,-0.583290597,0,-0.256262197,32579,0.642432822,44.26208488,-0.04574318,55.73791512,0.157123558,0,-0.248704113,7799,-0.13714214,49.53192332,0.448451146,50.46807668,-0.433687223,40378,0.46746401,1.367081084,-0.810297626,23.42116994,1.049807826,4.868988063,-0.192780323,43.84565853,0.173239335,0.267472386,-0.091031024,2.531081282,-0.783781826,0.054485116,-0.117098372,24.30703625,-0.249007303,63.7,-0.658189664,85.7,-0.076882212,46.98305085,0.402615821,53.01694915,-0.312303784,0,-0.24365733,35400,-0.10298891,46.89768008,0.726117111,53.10231992,-0.694651815,0,-0.246166294,23837,0.257987967,48.53869878,0.257964272,51.46130122,-0.358773236,0,-0.241001764,6809,0.648518364,GEDorHSDiplomaAccepted,Yes,3.62,-0.529948993,75,1.106569504,Yes,48.08718861,-0.088807054,51.91281139,0.121706629,6.900150404,0.280688211,7.2,-0.979296423,23.3,-0.621123821,76.7,0.607785078,21,-0.004879567,8934,-0.563841139,21174,-1.342333091,21174,-1.363738597,122463488,0.01058267,32866551,-0.261839551,70.03054955,-0.103070125,58.20507793,-0.105765371,40.76133594,-0.154805836,57,-0.456977012,10017,-0.3292024,6142,0.911817622,4303,-0.704684401,49,0.076143593,31640,0.799571512,398,0.415379252,6728,-0.361480113,21,1.060854419,7.25,-0.965252481,1,Yes,0.785275994,0.32,-0.394112787,0.07,-0.891829638,0.16,2.173978567,14.3,-1.320070107,13.7,-0.32853555,0.36,0.036614049,0.19,-0.423969938,0.09,-0.571548283,4.88,0.105310768,447,0.486063384,26.9,-0.080844211,5.5,-0.276202121,0.13,-0.153287629,0.71,-0.329264233,57300,-0.28972327,93,-0.582975876,0.14,-0.398409657,0.13,1.164546686
University of Houston,Texas,48.20388477,0.164780116,51.79611523,-0.156498785,0,-0.256262197,37943,1.119211203,46.4656846,0.213595657,53.5343154,-0.086970071,0,-0.248704113,8757,0.049418695,47.87794433,0.184086567,52.12205567,-0.170911082,46700,0.903098249,3.82012848,0.215274055,30.00428266,1.629427386,9.006423983,0.470507347,15.15203426,-1.529160216,0.08993576,-0.352669374,19.46466809,1.480570636,0.064239829,-0.109058813,33.47407929,0.521200986,63.1,-0.704024008,85,-0.174966478,42.38323876,-0.335677722,57.61676124,0.363615883,0,-0.24365733,29783,-0.310624957,41.03811841,-0.30446834,58.96188159,0.355248305,0,-0.246166294,19728,-0.141158506,42.93429343,-0.395871043,57.06570657,0.150012935,0,-0.241001764,5555,0.134252063,GEDorHSDiplomaAccepted,Yes,3.49,-1.11741183,75,1.106569504,Yes,48.77456392,0.015895364,51.22543608,0.018090898,11.93632554,2.211063397,2,-1.301782061,18,-1.05410332,82,1.007565485,22,0.942330489,10856,0.027798787,26096,-0.71173782,26096,-0.734152046,165580574,0.549342484,14485637,-0.696468738,73.68594436,0.215145702,74.53678406,1.167689607,54.92313324,1.000264537,65.6,0.116695196,10122,-0.307130866,907,-0.943087937,4398,-0.677902282,42.76,-0.495613623,21553,-0.966531277,477,0.632740495,3352,-0.753745611,21,1.060854419,7.25,-0.965252481,1,Yes,0.785275994,0.32,-0.394112787,0.07,-0.891829638,0.16,2.173978567,14.3,-1.320070107,13.7,-0.32853555,0.36,0.036614049,0.19,-0.423969938,0.09,-0.571548283,4.88,0.105310768,447,0.486063384,26.9,-0.080844211,5.5,-0.276202121,0.13,-0.153287629,0.71,-0.329264233,57300,-0.28972327,93,-0.582975876,0.14,-0.398409657,0.13,1.164546686
University of North Texas,Texas,45.81516473,-0.231354979,54.18483527,0.237190401,0,-0.256262197,33024,0.681986584,46.3402106,0.198828782,53.6597894,-0.073071266,0,-0.248704113,11681,0.618838196,45.95235432,-0.123691099,54.04764568,0.135017296,44705,0.765627463,3.232300638,-0.030485399,21.22357678,0.856317599,11.21351079,0.824333605,28.18924058,-0.755659665,0.201319763,-0.188521123,5.726428811,-0.356501231,0.082764791,-0.093791063,38.91204211,0.978094667,58.89,-1.02562832,77.93,-1.165617562,43.33822271,-0.182397877,56.65872143,0.222836665,0,-0.24365733,32724,-0.201908985,41.97032088,-0.140511656,58.02579442,0.187522784,0,-0.246166294,25742,0.443038839,43.68961353,-0.307751979,56.31038647,0.081442516,0,-0.241001764,6624,0.572649731,GEDorHSDiplomaAccepted,Yes,3.715,-0.100649227,75,1.106569504,Yes,45.85443882,-0.428904083,54.14556118,0.458273858,11.35840601,1.989545779,5.1,-1.109531008,19.5,-0.931561952,80.5,0.894420087,22,0.942330489,8295,-0.760541406,18087,-1.7378324,18087,-1.758605254,183881461,0.778017085,13907414,-0.710141213,74.23473312,0.262919822,58.62515541,-0.073010082,43.52022766,0.070216033,62,-0.123446659,9559,-0.42547633,3636,0.023872382,6739,-0.01793448,49,0.076143593,22068,-0.876361461,368,0.332837008,4664,-0.601301199,26,2.716714595,7.25,-0.965252481,1,Yes,0.785275994,0.32,-0.394112787,0.07,-0.891829638,0.16,2.173978567,14.3,-1.320070107,13.7,-0.32853555,0.36,0.036614049,0.19,-0.423969938,0.09,-0.571548283,4.88,0.105310768,447,0.486063384,26.9,-0.080844211,5.5,-0.276202121,0.13,-0.153287629,0.71,-0.329264233,57300,-0.28972327,93,-0.582975876,0.14,-0.398409657,0.13,1.164546686
